user_id,subject,difficulty,score,time_spent,learning_style,skill_level
25,Machine Learning,beginner,50.0,242,auditory,advanced
25,Data Structures,intermediate,100.0,97,kinesthetic,intermediate
26,OOP,advanced,97.0,264,visual,intermediate
26,Data Structures,intermediate,92.0,168,auditory,beginner
26,Data Structures,beginner,50.0,272,visual,intermediate
26,Data Structures,beginner,79.0,78,kinesthetic,intermediate
26,Data Structures,intermediate,50.0,191,auditory,advanced
27,Python,advanced,45.0,276,visual,advanced
27,Data Structures,beginner,85.0,227,visual,advanced
27,Python,intermediate,88.0,125,visual,advanced
27,Python,beginner,70.0,196,kinesthetic,beginner
27,Python,intermediate,96.0,244,visual,beginner
28,Python,intermediate,40.0,210,auditory,beginner
28,Python,beginner,42.0,146,visual,intermediate
28,OOP,beginner,56.0,227,auditory,intermediate
28,Machine Learning,intermediate,75.0,121,kinesthetic,beginner
29,Python,intermediate,69.0,83,auditory,beginner
29,Python,intermediate,86.0,140,visual,beginner
29,Machine Learning,beginner,91.0,278,visual,beginner
30,OOP,advanced,84.0,235,kinesthetic,beginner
30,Python,advanced,58.0,93,auditory,advanced
30,Data Structures,advanced,41.0,153,kinesthetic,advanced
30,Machine Learning,beginner,82.0,224,kinesthetic,advanced
30,Machine Learning,advanced,72.0,283,visual,intermediate
30,Machine Learning,beginner,48.0,142,visual,intermediate
31,Python,advanced,95.0,76,visual,intermediate
31,OOP,intermediate,79.0,163,kinesthetic,advanced
31,Data Structures,advanced,71.0,85,visual,advanced
31,Python,intermediate,96.0,239,visual,beginner
31,Machine Learning,intermediate,54.0,154,auditory,advanced
31,Machine Learning,beginner,68.0,229,kinesthetic,advanced
32,Data Structures,intermediate,50.0,67,visual,intermediate
32,OOP,beginner,85.0,72,visual,intermediate
32,OOP,intermediate,75.0,178,auditory,advanced
32,Data Structures,beginner,61.0,131,kinesthetic,beginner
32,OOP,intermediate,48.0,142,kinesthetic,advanced
32,Machine Learning,advanced,68.0,144,visual,intermediate
32,OOP,beginner,86.0,248,kinesthetic,beginner
33,Machine Learning,beginner,97.0,175,kinesthetic,beginner
33,Data Structures,beginner,55.0,257,auditory,intermediate
33,OOP,intermediate,97.0,74,auditory,advanced
33,OOP,beginner,59.0,112,visual,beginner
34,Data Structures,advanced,74.0,77,auditory,beginner
34,Python,advanced,77.0,82,visual,intermediate
34,Machine Learning,advanced,62.0,252,visual,beginner
34,Python,beginner,48.0,97,kinesthetic,beginner
34,OOP,beginner,89.0,164,kinesthetic,intermediate
34,Machine Learning,beginner,72.0,99,kinesthetic,advanced
34,Data Structures,intermediate,51.0,112,visual,beginner
35,Python,beginner,53.0,125,visual,intermediate
35,Python,beginner,97.0,161,kinesthetic,advanced
35,Data Structures,intermediate,52.0,70,kinesthetic,advanced
35,Data Structures,intermediate,62.0,229,kinesthetic,intermediate
35,Machine Learning,beginner,51.0,140,visual,intermediate
36,Machine Learning,beginner,92.0,285,visual,advanced
36,Data Structures,beginner,51.0,135,visual,intermediate
36,OOP,intermediate,52.0,87,visual,advanced
37,Python,beginner,88.0,234,visual,beginner
37,Data Structures,intermediate,61.0,285,visual,intermediate
37,OOP,beginner,48.0,96,kinesthetic,advanced
37,Data Structures,beginner,91.0,223,visual,intermediate
38,Machine Learning,beginner,41.0,99,visual,intermediate
38,Python,advanced,64.0,84,visual,advanced
38,Machine Learning,advanced,82.0,219,visual,intermediate
38,Python,intermediate,95.0,286,visual,beginner
38,OOP,beginner,61.0,166,auditory,advanced
38,OOP,beginner,74.0,107,visual,intermediate
38,OOP,beginner,56.0,62,kinesthetic,beginner
39,OOP,intermediate,71.0,155,kinesthetic,intermediate
39,Python,beginner,47.0,281,kinesthetic,intermediate
39,Python,advanced,93.0,242,auditory,intermediate
40,OOP,beginner,47.0,165,visual,intermediate
40,Machine Learning,intermediate,40.0,103,auditory,beginner
40,Python,intermediate,100.0,172,auditory,beginner
40,OOP,beginner,49.0,137,kinesthetic,beginner
40,Python,intermediate,88.0,83,kinesthetic,beginner
41,Data Structures,advanced,99.0,200,visual,advanced
41,Python,intermediate,48.0,232,kinesthetic,intermediate
41,Data Structures,beginner,59.0,101,kinesthetic,intermediate
41,Python,intermediate,60.0,65,auditory,intermediate
41,OOP,beginner,50.0,208,kinesthetic,advanced
42,OOP,advanced,71.0,173,visual,intermediate
42,OOP,beginner,69.0,212,visual,beginner
42,OOP,advanced,52.0,179,auditory,beginner
42,Machine Learning,advanced,61.0,190,kinesthetic,advanced
43,Data Structures,intermediate,52.0,271,visual,intermediate
43,Data Structures,advanced,81.0,93,kinesthetic,intermediate
43,OOP,advanced,60.0,136,auditory,intermediate
43,Python,advanced,49.0,239,auditory,beginner
43,Data Structures,advanced,64.0,166,kinesthetic,intermediate
44,Machine Learning,intermediate,48.0,250,visual,advanced
44,Python,intermediate,62.0,208,visual,beginner
44,Machine Learning,advanced,82.0,211,kinesthetic,intermediate
44,Machine Learning,intermediate,60.0,215,visual,intermediate
44,OOP,intermediate,52.0,213,visual,advanced
44,Machine Learning,intermediate,98.0,109,visual,advanced
44,OOP,advanced,90.0,199,kinesthetic,advanced
45,Data Structures,intermediate,56.0,243,kinesthetic,advanced
45,Python,intermediate,95.0,238,visual,advanced
45,Data Structures,intermediate,78.0,286,kinesthetic,intermediate
45,Data Structures,beginner,45.0,72,kinesthetic,intermediate
46,Data Structures,advanced,100.0,163,visual,advanced
46,Machine Learning,intermediate,54.0,231,visual,intermediate
46,Data Structures,advanced,81.0,140,visual,beginner
46,Data Structures,beginner,91.0,268,kinesthetic,beginner
46,Python,beginner,47.0,237,auditory,intermediate
47,OOP,advanced,72.0,90,auditory,intermediate
47,OOP,beginner,60.0,199,kinesthetic,beginner
47,Python,intermediate,70.0,100,kinesthetic,advanced
47,Machine Learning,beginner,96.0,157,kinesthetic,intermediate
47,Data Structures,beginner,73.0,162,kinesthetic,beginner
48,OOP,beginner,42.0,144,kinesthetic,advanced
48,OOP,advanced,91.0,162,kinesthetic,beginner
48,OOP,advanced,78.0,198,visual,advanced
48,Data Structures,advanced,54.0,142,visual,intermediate
48,Data Structures,beginner,100.0,115,auditory,beginner
48,Machine Learning,beginner,40.0,185,kinesthetic,intermediate
48,Machine Learning,intermediate,52.0,78,visual,beginner
49,Machine Learning,intermediate,55.0,71,auditory,advanced
49,OOP,intermediate,68.0,165,kinesthetic,intermediate
49,Python,advanced,41.0,145,kinesthetic,beginner
49,OOP,beginner,52.0,243,kinesthetic,beginner
49,Python,beginner,98.0,262,kinesthetic,advanced
49,OOP,advanced,43.0,70,visual,intermediate
50,Data Structures,beginner,75.0,183,kinesthetic,beginner
50,OOP,beginner,61.0,100,auditory,beginner
50,OOP,advanced,96.0,150,auditory,beginner
50,OOP,advanced,93.0,66,kinesthetic,advanced
50,Data Structures,intermediate,48.0,260,kinesthetic,beginner
51,OOP,beginner,49.0,87,visual,advanced
51,OOP,intermediate,58.0,165,auditory,advanced
51,Python,advanced,77.0,197,auditory,intermediate
52,OOP,beginner,44.0,254,auditory,beginner
52,Machine Learning,advanced,90.0,89,auditory,advanced
52,Python,beginner,54.0,232,auditory,advanced
52,Python,intermediate,93.0,231,visual,beginner
52,Data Structures,advanced,51.0,130,auditory,beginner
53,Python,beginner,64.0,104,kinesthetic,advanced
53,OOP,intermediate,82.0,87,kinesthetic,intermediate
53,Python,advanced,46.0,253,visual,advanced
53,Data Structures,advanced,64.0,111,visual,intermediate
53,OOP,intermediate,82.0,281,auditory,intermediate
53,Data Structures,advanced,97.0,289,visual,intermediate
54,Machine Learning,advanced,97.0,158,auditory,intermediate
54,Python,intermediate,56.0,209,visual,advanced
54,Python,beginner,41.0,150,kinesthetic,beginner
55,Data Structures,intermediate,62.0,108,visual,beginner
55,Machine Learning,intermediate,79.0,234,visual,beginner
55,OOP,intermediate,81.0,237,kinesthetic,intermediate
55,Python,advanced,67.0,296,visual,intermediate
55,Python,beginner,56.0,224,auditory,intermediate
55,Machine Learning,intermediate,52.0,155,auditory,intermediate
55,Data Structures,intermediate,55.0,90,visual,intermediate
56,OOP,advanced,85.0,63,auditory,intermediate
56,Python,intermediate,79.0,296,auditory,intermediate
56,OOP,intermediate,94.0,95,kinesthetic,intermediate
56,OOP,beginner,72.0,146,auditory,advanced
56,Python,advanced,69.0,146,visual,beginner
56,Data Structures,beginner,89.0,252,auditory,beginner
56,Machine Learning,beginner,62.0,79,kinesthetic,advanced
57,Data Structures,intermediate,77.0,115,visual,beginner
57,Machine Learning,intermediate,48.0,239,kinesthetic,beginner
57,Machine Learning,advanced,68.0,127,kinesthetic,advanced
57,OOP,advanced,54.0,126,kinesthetic,intermediate
57,Machine Learning,beginner,49.0,67,auditory,intermediate
57,OOP,intermediate,52.0,143,visual,advanced
58,Python,intermediate,97.0,175,auditory,intermediate
58,OOP,intermediate,78.0,218,auditory,advanced
58,OOP,advanced,81.0,106,kinesthetic,advanced
58,Data Structures,beginner,42.0,149,visual,beginner
58,Python,beginner,83.0,144,kinesthetic,advanced
58,Python,advanced,79.0,264,visual,intermediate
58,OOP,advanced,41.0,204,visual,beginner
59,Data Structures,intermediate,72.0,280,visual,intermediate
59,OOP,advanced,85.0,236,auditory,advanced
59,Python,advanced,50.0,108,kinesthetic,intermediate
59,Data Structures,intermediate,90.0,150,kinesthetic,advanced
59,Machine Learning,beginner,98.0,254,auditory,advanced
60,Machine Learning,beginner,43.0,194,kinesthetic,intermediate
60,Data Structures,beginner,56.0,114,kinesthetic,intermediate
60,Python,advanced,55.0,258,kinesthetic,advanced
61,Python,intermediate,89.0,249,kinesthetic,intermediate
61,OOP,advanced,87.0,133,auditory,intermediate
61,OOP,advanced,96.0,144,visual,beginner
61,OOP,advanced,65.0,94,visual,intermediate
61,OOP,advanced,44.0,171,auditory,advanced
62,Data Structures,beginner,62.0,110,auditory,beginner
62,Python,beginner,51.0,273,auditory,beginner
62,Python,beginner,88.0,94,auditory,advanced
62,Data Structures,advanced,86.0,224,kinesthetic,intermediate
62,OOP,beginner,56.0,130,kinesthetic,intermediate
62,OOP,intermediate,89.0,82,auditory,beginner
63,Data Structures,beginner,63.0,116,visual,beginner
63,Data Structures,advanced,75.0,283,auditory,intermediate
63,Machine Learning,advanced,91.0,153,visual,advanced
63,Machine Learning,beginner,42.0,175,kinesthetic,intermediate
63,OOP,beginner,50.0,210,auditory,beginner
63,OOP,advanced,41.0,113,kinesthetic,beginner
64,OOP,advanced,76.0,229,auditory,intermediate
64,OOP,intermediate,84.0,67,auditory,advanced
64,Python,intermediate,81.0,212,visual,intermediate
64,Data Structures,advanced,92.0,230,kinesthetic,beginner
65,Data Structures,advanced,67.0,149,auditory,advanced
65,Python,beginner,75.0,131,visual,advanced
65,Data Structures,advanced,46.0,134,auditory,advanced
65,Machine Learning,advanced,78.0,69,kinesthetic,beginner
65,Data Structures,advanced,77.0,283,auditory,beginner
66,OOP,beginner,72.0,183,auditory,beginner
66,Machine Learning,advanced,48.0,163,auditory,advanced
66,Python,advanced,86.0,284,kinesthetic,advanced
66,Data Structures,intermediate,45.0,175,visual,advanced
67,OOP,intermediate,40.0,148,visual,intermediate
67,Data Structures,beginner,75.0,91,auditory,intermediate
67,Machine Learning,beginner,72.0,170,visual,beginner
67,Python,intermediate,61.0,160,kinesthetic,intermediate
67,OOP,intermediate,74.0,131,kinesthetic,intermediate
67,OOP,beginner,61.0,232,kinesthetic,beginner
68,Data Structures,advanced,44.0,212,auditory,beginner
68,Python,intermediate,77.0,181,visual,beginner
68,Python,intermediate,72.0,100,auditory,advanced
68,Python,beginner,53.0,264,kinesthetic,beginner
68,Machine Learning,beginner,60.0,215,kinesthetic,beginner
68,Python,advanced,56.0,65,auditory,advanced
68,OOP,intermediate,43.0,207,visual,advanced
69,OOP,beginner,49.0,155,visual,intermediate
69,OOP,beginner,91.0,151,visual,intermediate
69,Data Structures,intermediate,65.0,246,visual,beginner
69,Data Structures,beginner,47.0,211,kinesthetic,beginner
69,Data Structures,advanced,72.0,168,visual,advanced
70,Python,intermediate,64.0,284,visual,intermediate
70,OOP,beginner,80.0,131,auditory,beginner
70,Python,intermediate,81.0,272,auditory,beginner
70,Data Structures,beginner,81.0,114,auditory,intermediate
71,OOP,advanced,99.0,189,visual,advanced
71,Machine Learning,advanced,58.0,113,auditory,intermediate
71,Machine Learning,advanced,83.0,162,visual,beginner
71,Machine Learning,beginner,87.0,288,kinesthetic,advanced
71,OOP,advanced,91.0,199,visual,advanced
71,Data Structures,beginner,57.0,274,visual,beginner
72,Python,advanced,98.0,93,auditory,beginner
72,Data Structures,intermediate,92.0,108,auditory,beginner
72,Machine Learning,advanced,65.0,94,visual,intermediate
73,Machine Learning,advanced,85.0,89,auditory,advanced
73,OOP,intermediate,46.0,246,visual,intermediate
73,Python,beginner,89.0,82,visual,intermediate
73,Python,beginner,61.0,165,auditory,advanced
73,Machine Learning,intermediate,70.0,73,auditory,advanced
73,Machine Learning,advanced,88.0,274,kinesthetic,advanced
73,Python,beginner,46.0,69,auditory,beginner
74,Machine Learning,beginner,53.0,60,visual,advanced
74,Data Structures,advanced,46.0,81,visual,beginner
74,OOP,intermediate,83.0,148,visual,advanced
74,Python,intermediate,64.0,88,kinesthetic,beginner
74,Data Structures,beginner,43.0,106,visual,beginner
74,Data Structures,intermediate,78.0,248,auditory,advanced
75,Data Structures,intermediate,64.0,128,visual,intermediate
75,Machine Learning,intermediate,98.0,144,kinesthetic,advanced
75,OOP,beginner,97.0,240,kinesthetic,beginner
75,Python,intermediate,78.0,86,kinesthetic,advanced
75,OOP,advanced,69.0,185,kinesthetic,advanced
75,Python,intermediate,49.0,70,auditory,advanced
75,Data Structures,intermediate,78.0,266,kinesthetic,advanced
76,Machine Learning,beginner,69.0,133,auditory,advanced
76,Machine Learning,beginner,72.0,253,auditory,intermediate
76,Data Structures,advanced,52.0,90,kinesthetic,intermediate
76,Data Structures,intermediate,53.0,126,visual,advanced
77,Machine Learning,intermediate,43.0,108,kinesthetic,advanced
77,Data Structures,intermediate,91.0,291,visual,advanced
77,OOP,beginner,47.0,242,auditory,beginner
77,Data Structures,advanced,58.0,212,auditory,intermediate
77,OOP,beginner,91.0,126,visual,advanced
77,OOP,intermediate,67.0,186,auditory,intermediate
77,Data Structures,beginner,74.0,138,visual,beginner
78,Python,advanced,64.0,188,kinesthetic,advanced
78,Python,intermediate,82.0,141,kinesthetic,advanced
78,Data Structures,beginner,57.0,137,kinesthetic,beginner
79,Data Structures,beginner,97.0,69,auditory,intermediate
79,Data Structures,advanced,74.0,265,auditory,beginner
79,Data Structures,advanced,58.0,213,visual,advanced
79,Machine Learning,beginner,90.0,120,visual,advanced
79,Machine Learning,advanced,62.0,282,kinesthetic,advanced
79,OOP,advanced,41.0,252,auditory,intermediate
79,Data Structures,intermediate,89.0,90,auditory,advanced
80,Data Structures,beginner,88.0,113,kinesthetic,advanced
80,OOP,advanced,43.0,215,auditory,advanced
80,Python,beginner,84.0,147,kinesthetic,advanced
81,OOP,intermediate,78.0,185,kinesthetic,beginner
81,Machine Learning,intermediate,46.0,298,kinesthetic,advanced
81,OOP,intermediate,41.0,296,auditory,beginner
82,Data Structures,intermediate,50.0,60,visual,beginner
82,Data Structures,advanced,88.0,181,visual,advanced
82,Machine Learning,beginner,75.0,99,visual,advanced
82,Python,intermediate,73.0,246,auditory,advanced
82,Machine Learning,beginner,66.0,224,kinesthetic,beginner
82,Machine Learning,advanced,72.0,276,visual,advanced
83,OOP,intermediate,68.0,238,kinesthetic,advanced
83,OOP,intermediate,60.0,215,kinesthetic,intermediate
83,OOP,beginner,98.0,83,auditory,beginner
83,Machine Learning,advanced,56.0,245,kinesthetic,advanced
83,OOP,beginner,61.0,255,visual,beginner
84,OOP,intermediate,82.0,122,visual,beginner
84,Python,beginner,89.0,290,auditory,intermediate
84,Python,advanced,92.0,263,kinesthetic,intermediate
84,Python,beginner,81.0,265,kinesthetic,beginner
84,Machine Learning,intermediate,59.0,80,auditory,intermediate
85,Machine Learning,intermediate,98.0,190,kinesthetic,intermediate
85,Machine Learning,advanced,99.0,216,kinesthetic,intermediate
85,Machine Learning,beginner,59.0,179,auditory,advanced
85,Machine Learning,beginner,47.0,87,kinesthetic,beginner
85,OOP,intermediate,45.0,237,visual,advanced
85,Python,advanced,95.0,258,kinesthetic,advanced
86,OOP,advanced,76.0,143,auditory,intermediate
86,OOP,advanced,86.0,120,visual,intermediate
86,Python,advanced,59.0,262,kinesthetic,beginner
86,Data Structures,intermediate,61.0,73,kinesthetic,advanced
86,OOP,beginner,63.0,77,kinesthetic,intermediate
86,Data Structures,advanced,84.0,106,kinesthetic,beginner
86,Machine Learning,advanced,69.0,199,visual,beginner
87,Machine Learning,beginner,88.0,281,visual,intermediate
87,Machine Learning,advanced,50.0,150,kinesthetic,advanced
87,Python,intermediate,82.0,269,kinesthetic,intermediate
88,Machine Learning,intermediate,65.0,61,auditory,advanced
88,Data Structures,beginner,85.0,78,auditory,beginner
88,Machine Learning,advanced,86.0,130,kinesthetic,advanced
88,Python,beginner,50.0,266,kinesthetic,beginner
88,Python,advanced,74.0,246,auditory,intermediate
89,Python,advanced,76.0,184,visual,advanced
89,Machine Learning,advanced,55.0,230,visual,intermediate
89,Data Structures,intermediate,83.0,221,kinesthetic,beginner
89,Python,advanced,57.0,295,auditory,beginner
89,OOP,advanced,90.0,90,auditory,intermediate
89,Machine Learning,intermediate,57.0,188,kinesthetic,advanced
90,Data Structures,beginner,74.0,122,kinesthetic,beginner
90,Python,beginner,47.0,261,auditory,intermediate
90,OOP,advanced,86.0,289,visual,beginner
90,Python,advanced,93.0,83,auditory,beginner
90,Machine Learning,advanced,75.0,142,auditory,advanced
90,Machine Learning,intermediate,86.0,70,auditory,beginner
90,Data Structures,intermediate,56.0,169,kinesthetic,intermediate
91,Data Structures,beginner,85.0,292,auditory,beginner
91,Machine Learning,beginner,56.0,252,kinesthetic,beginner
91,Data Structures,intermediate,88.0,64,auditory,beginner
91,Machine Learning,beginner,82.0,147,auditory,intermediate
91,Machine Learning,advanced,66.0,122,visual,advanced
91,Python,advanced,48.0,215,visual,advanced
92,OOP,beginner,43.0,150,kinesthetic,beginner
92,Data Structures,advanced,73.0,280,visual,intermediate
92,OOP,intermediate,57.0,62,visual,advanced
93,OOP,intermediate,51.0,257,kinesthetic,beginner
93,Python,beginner,51.0,101,visual,advanced
93,Python,intermediate,84.0,112,visual,intermediate
93,Python,beginner,50.0,292,auditory,beginner
93,Data Structures,beginner,72.0,93,auditory,beginner
93,Machine Learning,intermediate,67.0,140,auditory,intermediate
94,OOP,beginner,90.0,187,visual,advanced
94,Machine Learning,advanced,60.0,205,auditory,intermediate
94,OOP,intermediate,48.0,122,visual,advanced
94,Data Structures,beginner,75.0,203,visual,intermediate
95,OOP,intermediate,58.0,91,auditory,advanced
95,OOP,advanced,56.0,259,auditory,intermediate
95,Python,advanced,63.0,81,visual,beginner
95,Python,intermediate,49.0,271,kinesthetic,intermediate
95,Data Structures,advanced,90.0,265,visual,intermediate
96,Python,intermediate,52.0,223,visual,intermediate
96,Machine Learning,beginner,71.0,88,visual,beginner
96,Python,advanced,68.0,269,visual,advanced
96,OOP,beginner,58.0,293,visual,intermediate
96,Data Structures,beginner,76.0,274,auditory,intermediate
96,Python,advanced,65.0,281,visual,beginner
97,OOP,advanced,90.0,127,auditory,advanced
97,Data Structures,advanced,74.0,175,visual,beginner
97,Python,advanced,54.0,182,visual,beginner
97,OOP,beginner,48.0,94,auditory,advanced
97,Data Structures,intermediate,49.0,143,visual,advanced
97,Data Structures,intermediate,69.0,251,visual,advanced
98,Data Structures,beginner,66.0,272,kinesthetic,intermediate
98,OOP,intermediate,67.0,266,kinesthetic,intermediate
98,OOP,intermediate,89.0,272,visual,advanced
99,OOP,beginner,90.0,258,kinesthetic,advanced
99,OOP,advanced,71.0,248,kinesthetic,intermediate
99,Python,advanced,58.0,132,kinesthetic,advanced
99,Machine Learning,intermediate,82.0,110,auditory,advanced
99,Python,intermediate,69.0,284,auditory,advanced
100,OOP,advanced,58.0,142,auditory,beginner
100,Python,beginner,100.0,182,kinesthetic,beginner
100,Machine Learning,advanced,55.0,300,kinesthetic,advanced
100,OOP,intermediate,42.0,85,kinesthetic,intermediate
101,Python,intermediate,49.0,177,auditory,advanced
101,Data Structures,intermediate,94.0,217,visual,beginner
101,Data Structures,intermediate,60.0,108,auditory,advanced
101,Machine Learning,intermediate,55.0,69,kinesthetic,intermediate
101,Python,beginner,60.0,119,auditory,advanced
102,Python,advanced,44.0,194,auditory,advanced
102,Data Structures,beginner,62.0,235,kinesthetic,intermediate
102,Python,advanced,43.0,162,auditory,beginner
102,Data Structures,beginner,62.0,177,auditory,advanced
102,Data Structures,beginner,83.0,132,visual,intermediate
102,OOP,intermediate,62.0,252,visual,beginner
102,OOP,advanced,49.0,191,auditory,beginner
103,Python,intermediate,43.0,150,auditory,beginner
103,OOP,intermediate,91.0,228,auditory,advanced
103,Data Structures,advanced,47.0,300,kinesthetic,beginner
103,Machine Learning,beginner,76.0,91,kinesthetic,intermediate
103,Python,beginner,50.0,139,kinesthetic,intermediate
103,Python,beginner,87.0,176,kinesthetic,beginner
104,Data Structures,beginner,87.0,66,visual,advanced
104,Python,beginner,81.0,199,auditory,intermediate
104,Data Structures,beginner,44.0,83,visual,advanced
104,Python,advanced,54.0,221,visual,intermediate
104,OOP,advanced,60.0,221,visual,intermediate
104,OOP,intermediate,97.0,146,visual,advanced
